countyCode,countyName,cityCode,airport_code,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
AL,Albania,106078,ALB,Albanien,1003300,De Paris Hotel,4,Nr. 7 Brigada Viii Street Tirane ,,"Hotel de Paris is a charming boutique hotel that offers stylish rooms and a large courtyard garden perfect for enjoying a relaxing meal outdoors. A private bar with an open fireplace is suitable for a night cap.

Rooms and suites at De Paris are luxuriously furnished and offer air-conditioning, a minibar and a work desk. Every room has a flat-screen TV with satellite channels. Private bathroom provides a hairdryer, a bathrobe and free toiletries.

The hotel is situated in the elegant area of the city full of bars and restaurants, and just a few steps away from the main institutions such as Parliament, Palace of Congress, Opera House, Art Gallery and Main Boulevard.

Ironing, laundry and dry cleaning services are available. The reception is open 24 hours a day and breakfast buffet is served each day.

The nearest bus stop is only 50 metres from the property, while the Main Bus Station can be reached in 300 metres. Tirana Airport is 15 km away.",42268822,Private parking Parking onsite Television in common areas Airport transportation (surcharge) Area shuttle (surcharge) Private check-in/check-out Concierge services Designated smoking areas Air conditioning Non-smoking throughout Free WiFi Free WiFi Luggage storage Fax/photocopying Heating Car hire Currency exchange Internet access Ironing service Breakfast service Family rooms Dry cleaning/laundry service Laundry facilities Airport shuttle Non-smoking rooms Terrace Garden Free newspapers in lobby 24-hour front desk Bar/lounge Meeting rooms Room service Pets allowed Restaurant Free self parking,41.32213|19.81665,00355 4226 5009,1000,https://www.booking.com/hotel/al/de-paris.html
AL,Albania,106078,ALB,Albanien,5886724,Turtle Apartments,4,Rr. Porta E Detit 17. Ap. 20.  ,,,,,41.30098|19.49601,,2008,
AL,Albania,106078,ALB,Albanien,5902817,Studio Silva 2,5,Rruga Medar Shtylla  ,,,,,41.314316|19.805754,,1010,
AL,Albania,120702,HIM,Himar�,1399466,Hotel Prinos,5,Prane Ruges Nacionale 9999 Himare ,,"Our hotel is located just in front of the beach but 5 minutes walking from center of Himara. We have total 18 rooms, some with mountain view and most with sea view, when you book please make sure which view you like most. Offering a restaurant, Hotel Prinos is located on the beachfront in Himare, just a 5-minute walk from Potam Beach. Breakfast is served every morning and the rooms offer sea or mountain views.

With free WiFi access, the guest rooms here will provide you with a TV, a fridge and air conditioning. They also have a balcony, and each room has a private bathroom that comes with a shower.

At Hotel Prinos you will find a mini-market and there is free public parking on site. Please inform Hotel Prinos in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Payment before arrival via bank transfer is required. The property will contact you after you book to provide instructions.",,Street parking Parking onsite Mini-market on site Airport transportation (surcharge) Water sport facilities (on site) On private beach Air conditioning Free WiFi Free WiFi Soundproof rooms Express check-in Internet access Ironing service Family rooms Laundry facilities Airport shuttle Non-smoking rooms Garden 24-hour front desk Bar/lounge Room service Restaurant Free self parking,40.09687|19.754,,9999,https://www.booking.com/hotel/al/prinos.html
AL,Albania,120702,HIM,Himar�,1437920,Hotel Belle Vue,5,Gjilek Dhermi Beach9422 Dh�rmi ,,"Featuring an outdoor swimming pool with sun loungers and parasols, Hotel Belle Vue is set 850 metres from Dh�rmi Beach and 1.5 km from the city centre. Guests can enjoy the on-site bar and a restaurant.

A TV with satellite channels and air conditioning are provided in each room, as well as a private bathroom. Certain units have views of the sea or mountains.

Free WiFi is available throughout the property and free on-site private parking is provided.

Sarand� is 74 km away.",,Free self parking Restaurant Bar/lounge 24-hour front desk Garden Family rooms Internet access Free WiFi Outdoor pool Free WiFi Air conditioning Terrace Kids  club Daily housekeeping Parking onsite Private parking,40.15095|19.63326,,9422,https://www.booking.com/hotel/al/belle-vue-dhermi.html
AL,Albania,149801,SAR,Sarande,5276649,White Jasmine Apartment,5,Aleks Verli  ,,,,,39.876989441869|20.0063878297806,,9701,
AL,Albania,149801,SAR,Sarande,5619587,Shehu`s House,5,Rruga Adem Sheme  ,,,,,39.880237579346|19.998794555664,,852,
AL,Albania,107857,VEL,Velipoja,6120865,"Apartment With one Bedroom in Shkod�r, With Enclosed Garden and Wifi - 400 m From the Beach",3,Shkod�r - Velipoj�  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Shkodra Castle - 29.8 km / 18.5 mi <br /> Loro Borici Stadium - 33 km / 20.5 mi <br /> </p>,"<p>HeadLine : Near the beach</p><p>Location : With a stay at this vacation home in Shkoder, you ll be near the beach, and 18.5 mi (29.8 km) from Shkodra Castle and 20.5 mi (33 km) from Loro Borici Stadium.  This vacation home is within the region of Velika Plaza Beach.</p><p>Rooms : Make yourself comfortable in this vacation home, featuring a kitchen with a refrigerator and a stovetop. There s a private balcony or patio. Complimentary wireless Internet access is available to keep you connected.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts debit or credit cards and credit cards</li>  </ul></p><p>Special Instructions : There is no front desk at this property. Guests will receive an email with special check-in instructions.</p>",,Barbecue grill(s) Free self parking Free WiFi Smoke-free property Garden Internet access,41.863803|19.441063,33175435488,4020,
AL,Albania,141375,VLO,Vlore,1257190,Partner,4,"Pelivan Leskaj Street, 9400 Vlor�, Albania, 0 VLORE ",Kuzum Baba Fortress: within 2000 metre  Pavaresis Independence Museum: within 5 metre ,"Situated in a stunning area of Vlore Bay, this wonderful hotel is perfect for those wishing to escape it all. The hotel is surrounded by spectacular natural beauty, in an area rich in history and culture. Guests will find themselves just a short distance away from a number of natural and historical attractions, as well as shops, restaurants and entertainment venues. This hotel welcomes visitors with warm hospitality and charm. The guest rooms are tastefully designed, offering functional space and modern amenities. Guests will appreciate the range of facilities and services that this charming hotel has to offer, and are assured of a comfortable, enjoyable stay.",,Hotel Bathroom Shower Late Check-out Mobile phone coverage Local and international calls Car hire Transfer service Secure parking Airport shuttle Room service Launderette Babysitting service 24-hour security Bellboy service Hotel safe Currency exchange facilities Lift access Newspapers Restaurant Massage Spa treatments,40.454285|19.487954,,9401,http://www.hotelpartner.al/
AD,Andorra,131416,PDE,Pas de la Casa,1029661,Hotel Refugi dels Isards,3,Bernat Iii 6 AD200 Pas de la Casa ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Les Abelletes Lake Trail - 0.2 km / 0.1 mi <br /> Pas de la Casa Resort - 0.2 km / 0.1 mi <br /> Grandvalira Ski Resort - 0.2 km / 0.1 mi <br /> TSF4 Solana Ski Lift - 0.4 km / 0.2 mi <br /> TSF2 Coll Dels Isards Ski Lift - 0.9 km / 0.6 mi <br /> Bony d Envalira Via Ferrata - 0.9 km / 0.6 mi <br /> TSF4 Costa Rodona Ski Lift - 1.2 km / 0.8 mi <br /> Grandvalira Ski Area - 2.2 km / 1.4 mi <br /> TSF2 Coll Blanc Ski Lift - 2.4 km / 1.5 mi <br /> TSD4 Pas De La Casa Ski Lift - 2.5 km / 1.6 mi <br /> TSD6 Font Negre Ski Lift - 2.6 km / 1.6 mi <br /> Pic Blanc Ski Lift - 3 km / 1.9 mi <br /> Grau Roig Ski Resort - 3.6 km / 2.2 mi <br /> TSD Coma Blanca Ski Lift - 7.7 km / 4.8 mi <br /> Madriu-Perafita-Claror Valley - 9.4 km / 5.8 mi <br /> </p><p>The nearest airports are:<br />Barcelona El Prat Airport (BCN) - 194.6 km / 120.9 mi<br /> Blagnac Airport (TLS) - 168.8 km / 104.9 mi<br /> La Seu d Urgell (LEU) - 53.6 km / 33.3 mi<br /> </p><p></p>,"<p>HeadLine : Near Grandvalira Ski Resort</p><p>Location : With a stay at Hotel Refugi dels Isards in Pas de la Casa, you ll be within a 5-minute walk of Les Abelletes Lake Trail and Pas de la Casa Resort.  This ski hotel is 16.8 mi (27 km) from Caldea Spa and 17.2 mi (27.7 km) from Pyrenees Andorra Shopping Centre.</p><p>Rooms : Make yourself at home in one of the 49 guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Conveniences include safes, and housekeeping is provided daily.</p><p>Dining : At Hotel Refugi dels Isards, enjoy a satisfying meal at the restaurant. Quench your thirst with your favorite drink at the bar/lounge. Continental breakfasts are available daily from 8:00 AM to 10:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>This property reserves the right to pre-authorize the guest s credit card prior to arrival.</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 8:00 AM - 10:00 PM. This property doesn t offer after-hours check-in. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. At check-in, guests must provide either a negative COVID-19 test result or a record of full COVID-19 vaccination. The negative COVID-19 test result requirement applies to all guests aged 8 and up. COVID-19 vaccination record requirement applies to all guests aged 8 and up; guests must have received complete vaccination at least 14 days prior to check-in.</p>",+376 856954,elevator Tours/ticket assistance Laundry facilities In-room accessibility (in select rooms) Smoke-free property Safe-deposit box at front desk Ski storage Number of bars/lounges - 1 Free WiFi Breakfast available (surcharge) Front desk (limited hours) Multilingual staff Billiards or pool table,42.543682|1.734858,376855323,AD200,https://www.booking.com/hotel/ad/refugi-dels-isards.html
